Company (symbol),Previous_close,Volume,Market_cap
GreenPower Motor Company Inc. (GP),2.3800,"64,328",56.973M
"Tesla, Inc. (TSLA)",202.06,"111,346,705",636.799B
Toyota Motor Corporation (TM),227.83,"241,975",306.963B
Ford Motor Company (F),12.42,"43,228,567",48.876B
General Motors Company (GM),38.80,"12,396,651",44.676B
Li Auto Inc. (LI),32.23,"5,307,850",32.469B
BYD Company Limited (BYDDF),24.02,"187,163",26.747B
"Rivian Automotive, Inc. (RIVN)",16.20,"25,352,535",15.611B
VinFast Auto Ltd. (VFS),5.43,"1,469,234",12.764B
NIO Inc. (NIO),6.24,"41,550,945",12.966B
XPeng Inc. (XPEV),9.56,"10,532,605",9.048B
"Lucid Group, Inc. (LCID)",3.5900,"34,302,812",8.494B
Polestar Automotive Holding UK PLC (PSNY),1.7500,"1,495,386",3.735B
NWTN Inc. (NWTN),6.70,"26,306",1.92B
"REV Group, Inc. (REVG)",18.30,"2,846,503",1.157B
NFI Group Inc. (NFYEF),9.04,"2,960",1.079B
Blue Bird Corporation (BLBD),33.26,"1,209,861",1.04B
Nikola Corporation (NKLA),0.7525,"61,979,862",856.53M
The Lion Electric Company (LEV),1.7800,"309,913",411.657M
Fisker Inc. (FSR),0.7500,"27,006,516",391.316M
"Kandi Technologies Group, Inc. (KNDI)",2.5500,"48,991",234.561M
Canoo Inc. (GOEV),0.1450,"71,713,511",156.933M
First Hydrogen Corp. (FHYDF),1.1600,"3,351",80.851M
Workhorse Group Inc. (WKHS),0.2759,"12,556,369",76.675M
"Chijet Motor Company, Inc. (CJET)",0.4368,"655,151",71.172M
REE Automotive Ltd. (REE),7.42,"63,101",69.708M
"Mullen Automotive, Inc. (MULN)",7.95,"2,576,712",59.824M
Greenland Technologies Holding Corporation (GTEC),3.6500,"32,350",49.756M
"Xos, Inc. (XOS)",8.04,"8,175",46.817M
Cenntro Electric Group Limited (CENN),1.4800,"114,181",44.45M
"Envirotech Vehicles, Inc. (EVTV)",2.7000,"15,049",38.974M
Phoenix Motor Inc. (PEV),1.1900,"24,019",38.254M
Vicinity Motor Corp. (VEV),0.8100,"27,158",36.625M
Electrameccanica Vehicles Corp. (SOLO),0.2504,"450,344",31.744M
Zapp Electric Vehicles Group Limited (ZAPP),0.2801,"31,725",17.393M
Next.e.GO N.V. (EGOX),0.1380,"1,341,650",12.6M
Faraday Future Intelligent Electric Inc. (FFIE),0.1080,"49,025,693",11.995M
"Ayro, Inc. (AYRO)",1.7800,"12,860",8.851M
SRIVARU Holding Limited (SVMH),0.2000,"2,237,395",7.257M
"Arcimoto, Inc. (FUV)",0.6200,"30,796",5.859M
"Volcon, Inc. (VLCN)",1.1500,"3,678,828",1.452M
EV Technology Group Ltd. (EVTGF),0.0052,"147,250","812,764"
